frame,object_index,tlv1_range,tlv1_angle,tlv1_elevation,tlv1_doppler,tlv1_x_derived,tlv1_y_derived,tlv1_z_derived,tlv7_snr,tlv7_noise,tlv8_x,tlv8_y,tlv8_z,tlv8_doppler,tlv9_snr,tlv9_noise,tlv11_targetID,tlv10_targetID,tlv10_x,tlv10_y,tlv10_vx,tlv10_vy,tlv10_ax,tlv10_ay,tlv10_z,tlv10_vz,tlv10_az
105,4,1.8292388916015625,-1.0112245082855225,-0.09388787299394608,0.1471865475177765,-1.54342025984407,0.9667262343519638,-0.17149114223844905,236,412,,,,,-1,-1,-1,-1,,,,,,,,,
105,5,1.8995941877365112,-1.0112245082855225,-0.09388787299394608,0.1471865475177765,-1.602782538844675,1.0039079883653543,-0.17808695110305453,175,418,,,,,-1,-1,-1,-1,,,,,,,,,
105,6,1.6885281801223755,-0.9546201229095459,-0.09388787299394608,0.294373095035553,-1.3719291373264173,0.9715344159115478,-0.15829951333336745,161,408,,,,,-1,-1,-1,-1,,,,,,,,,
105,7,1.7588834762573242,-0.9546201229095459,-0.09388787299394608,0.294373095035553,-1.4290928150601048,1.012014990853328,-0.16489532219797293,236,404,,,,,-1,-1,-1,-1,,,,,,,,,
105,8,1.8292388916015625,-1.0112245082855225,-0.09388787299394608,0.294373095035553,-1.54342025984407,0.9667262343519638,-0.17149114223844905,242,401,,,,,-1,-1,-1,-1,,,,,,,,,
105,9,1.8995941877365112,-0.9546201229095459,-0.09388787299394608,0.294373095035553,-1.5434202673850264,1.0929762093267577,-0.17808695110305453,180,414,,,,,-1,-1,-1,-1,,,,,,,,,
106,0,1.7588834762573242,-0.9511632323265076,-0.06254076212644577,0.0,-1.4290928393148317,1.0194508751649625,-0.10993021784529945,205,378,,,,,-1,-1,-1,-1,,,,,,,,,
106,1,1.8292388916015625,-1.0050005912780762,-0.0312550887465477,0.0,-1.5434203045265373,0.9801535572129668,-0.05716371581424624,215,380,,,,,-1,-1,-1,-1,,,,,,,,,
106,2,1.8995941877365112,-1.0050005912780762,-0.0312550887465477,0.0,-1.6027825852456974,1.0178517463844563,-0.05936231883583635,177,391,,,,,-1,-1,-1,-1,,,,,,,,,
106,3,1.6181728839874268,-0.9595319032669067,-0.12532782554626465,0.1471865475177765,-1.3147654545245837,0.9213910577483411,-0.2022716014727333,172,422,,,,,-1,-1,-1,-1,,,,,,,,,
106,4,1.6885281801223755,-0.9546201229095459,-0.09388787299394608,0.1471865475177765,-1.3719291373264173,0.9715344159115478,-0.15829951333336745,213,419,,,,,-1,-1,-1,-1,,,,,,,,,
106,5,1.7588834762573242,-0.9546201229095459,-0.09388787299394608,0.1471865475177765,-1.4290928150601048,1.012014990853328,-0.16489532219797293,247,412,,,,,-1,-1,-1,-1,,,,,,,,,
106,6,1.8292388916015625,-0.9546201229095459,-0.09388787299394608,0.1471865475177765,-1.4862565896513389,1.0524956343849776,-0.17149114223844905,258,416,,,,,-1,-1,-1,-1,,,,,,,,,
